model,metric,mean,std
transformer,val_mae_E,0.0513,0.0045
transformer,val_mae_R,0.0507,0.0047
transformer,val_mse,0.0106,0.0013
transformer,val_r2,0.9074,0.0127
transformer,val_r2_E,0.9132,0.0262
transformer,val_r2_R,0.903,0.0112
transformer,val_rmse,0.103,0.0062
transformer,val_rmse_E,0.0906,0.0112
transformer,val_rmse_R,0.1136,0.0067
xgboost,test_mae,0.0437,0.0061
xgboost,test_mae_E,0.0433,0.0078
xgboost,test_mae_R,0.0441,0.0052
xgboost,test_mse,0.008,0.0024
xgboost,test_r2,0.9306,0.0225
xgboost,test_r2_E,0.9354,0.0312
xgboost,test_r2_R,0.9264,0.0178
xgboost,test_rmse,0.0883,0.0128
xgboost,test_rmse_E,0.079,0.0171
xgboost,test_rmse_R,0.0964,0.0106
xgboost,val_mae,0.0474,0.0044
xgboost,val_mae_E,0.0471,0.0045
xgboost,val_mae_R,0.0478,0.006
xgboost,val_mse,0.0107,0.0019
xgboost,val_r2,0.9073,0.0162
xgboost,val_r2_E,0.9162,0.023
xgboost,val_r2_R,0.9007,0.0234
xgboost,val_rmse,0.103,0.0092
xgboost,val_rmse_E,0.0892,0.0108
xgboost,val_rmse_R,0.1145,0.0137
