distance_bin,encoding,n_tielines,n_groups,mae,ci_low,ci_high
0-5 K,linear_quadratic,191,20,0.09900643063635724,0.09682435009592778,0.10118851117678669
0-5 K,inverse,191,20,0.10000507137030461,0.09706192453752727,0.10294821820308195
5-10 K,linear_quadratic,364,38,0.07339768563845354,0.06838044317301398,0.07841492810389311
5-10 K,inverse,364,38,0.07571328908420713,0.07494022442534318,0.07648635374307108
10-20 K,linear_quadratic,52,6,0.1264197197130833,0.12251864612953577,0.13032079329663085
10-20 K,inverse,52,6,0.12731536874661029,0.12210046085562076,0.1325302766375998
>20 K,linear_quadratic,105,8,0.08850345810172024,0.08712869313682645,0.08987822306661403
>20 K,inverse,105,8,0.08897763804684877,0.08733049071750328,0.09062478537619427
