encoding,distance_bin,n_tielines,n_system_temperature_groups,mae,rmse,r2,mae_extract,mae_raffinate,group_balanced_mae
linear_quadratic,0–5 K,191,20,0.09907641728107133,0.15046968039411443,0.8074949799669784,0.08784158913586061,0.11031124542628205,0.09438702949310708
linear_quadratic,5–10 K,364,38,0.07608198095861624,0.11889732707448172,0.8576950893207635,0.07605122870221076,0.07611273321502171,0.07551660810269711
linear_quadratic,10–20 K,52,6,0.12195957799289878,0.1782471059763121,0.7014471131704783,0.1401338296978233,0.10378532628797424,0.12293522195382027
linear_quadratic,>20 K,105,8,0.08691725299339316,0.14476118039788446,0.8508397432713493,0.041339485905440856,0.13249502008134548,0.08717645712416888
inverse,0–5 K,191,20,0.09960110909138915,0.15149264781390373,0.80486859351352,0.08922894750347923,0.10997327067929907,0.09473155453550841
inverse,5–10 K,364,38,0.07620778832767758,0.11860637510932506,0.8583907018293118,0.07621977644765258,0.07619580020770257,0.0756291442735167
inverse,10–20 K,52,6,0.1216251475823064,0.1777931201766185,0.7029659727935138,0.13957396434405103,0.1036763308205618,0.12261997365790685
inverse,>20 K,105,8,0.08707568023886461,0.14512937415280794,0.8500800131004055,0.04164046797901854,0.13251089249871068,0.08720328111802098
