encoding,temperature_side,n_tielines,n_system_temperature_groups,mae,rmse,r2,mae_extract,mae_raffinate,group_balanced_mae
linear_quadratic,below,222,24,0.0949501474841544,0.14101901241944145,0.7926660219513222,0.10163661649460448,0.08826367847370431,0.08939537122583259
linear_quadratic,above,490,48,0.08368717071035851,0.13483096065805325,0.8453927820199384,0.06841768790838774,0.09895665351232928,0.08431053702210252
inverse,below,222,24,0.09416367016446374,0.1397576303050403,0.796358541371748,0.10030731266223218,0.0880200276666953,0.08867894280823485
inverse,above,490,48,0.08433993083791783,0.13570055178664842,0.8433920751249726,0.06969101933220842,0.09898884234362722,0.084866459095787
