mode,precision,batch_size,warmup,repeats,mean_ms_per_batch,std_ms_per_batch,median_ms_per_batch,p95_ms_per_batch,min_ms_per_batch,max_ms_per_batch,mean_ms_per_sample,throughput_samples_per_s,peak_allocated_mib
model_only_cached_gpu,fp32,1,30,200,5.075989272594452,0.552886047626938,4.871680021286011,6.283622288703916,4.257791996002197,7.112703800201416,5.075989272594452,197.00593249852903,28.04833984375
cached_features_collate_transfer_forward,fp32,1,10,50,6.4758479999999885,1.0775854091884791,6.1744500000000535,8.590834999999553,5.220900000000306,8.920300000000658,6.4758479999999885,154.41993079516408,28.06494140625
model_only_cached_gpu,amp_fp16,1,30,200,6.632980797290802,0.82651655179875,6.382080078125,8.054740524291992,5.354496002197266,12.065792083740234,6.632980797290802,150.7617812505116,36.00537109375
cached_features_collate_transfer_forward,amp_fp16,1,10,50,7.530504000000029,0.9052768551023745,7.229099999999988,9.358049999999363,6.704499999999669,11.082100000001205,7.530504000000029,132.79323668110342,36.02197265625
model_only_cached_gpu,fp32,8,30,200,7.4958255887031555,1.3775693771050914,7.07591986656189,9.584281587600707,5.46611213684082,11.593728065490723,0.9369781985878944,1067.2606913448838,32.318359375
cached_features_collate_transfer_forward,fp32,8,10,50,9.630097999999805,1.268383508169261,9.177549999998647,12.073874999999477,8.50679999999926,14.126599999999101,1.2037622499999756,830.7288253972247,32.3876953125
model_only_cached_gpu,amp_fp16,8,30,200,8.03382609128952,0.7074095772227074,7.873535871505737,9.24938197135925,7.132160186767578,12.217408180236816,1.00422826141119,995.7895415079753,36.43359375
cached_features_collate_transfer_forward,amp_fp16,8,10,50,10.621410000000147,0.6351391996248544,10.44495000000012,11.75397000000098,9.816900000000572,12.601500000000598,1.3276762500000183,753.1956679951052,36.5029296875
model_only_cached_gpu,fp32,32,30,200,6.766262874603272,0.8778205996898135,6.52512001991272,9.017497587203978,5.347328186035156,10.184703826904297,0.21144571483135224,4729.346257017285,48.02099609375
cached_features_collate_transfer_forward,fp32,32,10,50,16.25975199999985,1.3078227787035803,15.776699999999089,18.8247299999996,14.580500000000995,19.609000000000876,0.5081172499999953,1968.0496971909718,48.28515625
model_only_cached_gpu,amp_fp16,32,30,200,8.668643193244934,1.3213118698840967,8.086112022399902,11.219865226745606,7.211008071899414,11.859968185424805,0.2708950997889042,3691.4658138122577,48.1142578125
cached_features_collate_transfer_forward,amp_fp16,32,10,50,18.09460399999999,1.4049259658727014,17.46634999999941,20.688275000000544,16.05000000000345,21.015299999998405,0.5654563749999997,1768.483023999863,48.37841796875
model_only_cached_gpu,fp32,128,30,200,7.289795217514038,1.2864711369108883,6.905503988265991,9.828608417510985,5.804031848907471,10.936320304870605,0.05695152513682842,17558.792281637026,112.83740234375
cached_features_collate_transfer_forward,fp32,128,10,50,44.08922000000004,1.8082191426929595,44.123950000001244,46.8297500000002,40.98920000000206,47.715799999998865,0.3444470312500003,2903.204003155417,113.7978515625
model_only_cached_gpu,amp_fp16,128,30,200,8.583414719104766,1.4607499927516618,7.965183973312378,11.754614210128782,6.638879776000977,13.542400360107422,0.06705792749300599,14912.479961512352,99.0869140625
cached_features_collate_transfer_forward,amp_fp16,128,10,50,44.82274400000016,1.6610662426479124,44.670949999998655,47.611505000000776,41.54399999999825,47.88470000000089,0.3501776875000012,2855.6930829580524,100.04736328125
uncached_new_system_end_to_end,fp32,1,1,20,15.543135000000063,1.597555231368842,15.326850000001002,17.504660000001774,13.20180000000093,20.63129999999802,15.543135000000063,64.33708515045362,33.12841796875
uncached_new_system_end_to_end,amp_fp16,1,1,20,17.65677499999967,1.9209560916054682,18.00894999999869,19.897034999999267,14.678700000001044,23.220800000000708,17.65677499999967,56.63548411303982,41.08544921875
