encoding,temperature_side,n_tielines,n_system_temperature_groups,mae,rmse,r2,mae_extract,mae_raffinate,group_balanced_mae
linear_quadratic,below,222,24,0.08788471678520103,0.13192033442918177,0.8185576634950344,0.09197768863736633,0.08379174493303573,0.08304506641904838
linear_quadratic,above,490,48,0.08757510903470037,0.14511486713923602,0.8209087676464873,0.06791452764691155,0.10723569042248918,0.08868265761267684
