epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
27,0.00262923,0.04381167,0.08341386,0.93889298,0.03864947,0.06098582,0.96359089,0.04897387,0.10097758,0.91880185,0.04047148,0.06116929,0.96810130,0.04220374,0.06123699,0.96145624,0.03873922,0.06110151,0.97280979
28,0.00264954,0.04272752,0.08287733,0.93967655,0.03856590,0.06116393,0.96337792,0.04688915,0.09998138,0.92039609,0.04024200,0.06163722,0.96761140,0.04281394,0.06347169,0.95859178,0.03767005,0.05974645,0.97400242
29,0.00261747,0.04345676,0.08347058,0.93880984,0.03882855,0.06109718,0.96345782,0.04808497,0.10100401,0.91875934,0.04038064,0.06169726,0.96754827,0.04247434,0.06151093,0.96111061,0.03828695,0.06188302,0.97210979
30,0.00272305,0.04569098,0.08673078,0.93393655,0.04050087,0.06430022,0.95952591,0.05088109,0.10445066,0.91312026,0.04002865,0.06088630,0.96839577,0.04067894,0.05869618,0.96458835,0.03937836,0.06300033,0.97109358
31,0.00266058,0.04147630,0.08113342,0.94218850,0.03700228,0.05905304,0.96586210,0.04595032,0.09837684,0.92293062,0.03865602,0.05911956,0.97020327,0.04070393,0.05963901,0.96344159,0.03660810,0.05859551,0.97499439
32,0.00261637,0.04369549,0.08346543,0.93881740,0.03884323,0.06041798,0.96426575,0.04854774,0.10140326,0.91811582,0.03872574,0.05844408,0.97088028,0.04017366,0.05765462,0.96583395,0.03727782,0.05922301,0.97445595
33,0.00265801,0.04286814,0.08270008,0.93993430,0.03823771,0.06083074,0.96377583,0.04749856,0.09989107,0.92053982,0.03909491,0.05976148,0.96955270,0.04181599,0.06170493,0.96086492,0.03637383,0.05775267,0.97570858
34,0.00257958,0.04290147,0.08357543,0.93865602,0.03846888,0.06047817,0.96419452,0.04733406,0.10154849,0.91788110,0.03901840,0.05917178,0.97015061,0.04076104,0.05880977,0.96445116,0.03727576,0.05953159,0.97418907
35,0.00259627,0.04108893,0.08095337,0.94244480,0.03685801,0.05925383,0.96562956,0.04531984,0.09795856,0.92358458,0.03938406,0.06127511,0.96799084,0.04044656,0.06081791,0.96198199,0.03832156,0.06172892,0.97224853
36,0.00259515,0.04330287,0.08343922,0.93885582,0.03880968,0.06242445,0.96185289,0.04779605,0.10013688,0.92014829,0.04058302,0.06286412,0.96630917,0.04441253,0.06694357,0.95393785,0.03675351,0.05850088,0.97507510
37,0.00258186,0.04296436,0.08254449,0.94016009,0.03877118,0.06138022,0.96311846,0.04715754,0.09929580,0.92148404,0.03870576,0.05894898,0.97037498,0.04029877,0.05924719,0.96392038,0.03711275,0.05864925,0.97494851
38,0.00249459,0.04324639,0.08317226,0.93924645,0.03830895,0.06063790,0.96400513,0.04818383,0.10078836,0.91910589,0.03916799,0.05934987,0.96997067,0.04020212,0.05855478,0.96475876,0.03813385,0.06013445,0.97366366
39,0.00255370,0.04276202,0.08269906,0.93993578,0.03776129,0.05999415,0.96476534,0.04776275,0.10039408,0.91973756,0.03970803,0.06111431,0.96815861,0.04221603,0.06285152,0.95939701,0.03720004,0.05932627,0.97436681
40,0.00256590,0.04365167,0.08382404,0.93829051,0.03911631,0.06253882,0.96171297,0.04818703,0.10070669,0.91923694,0.03932056,0.06004817,0.96925987,0.04082931,0.06006879,0.96291278,0.03781181,0.06002754,0.97375723
41,0.00256837,0.04198127,0.08221261,0.94064032,0.03756592,0.06036404,0.96432953,0.04639662,0.09936805,0.92136975,0.03947398,0.06070784,0.96858076,0.04132362,0.06141301,0.96123434,0.03762433,0.05999438,0.97378621
42,0.00255774,0.04308566,0.08327566,0.93909529,0.03932379,0.06248911,0.96177382,0.04684752,0.09982375,0.92064689,0.04016469,0.06156795,0.96768416,0.04243631,0.06232106,0.96007949,0.03789307,0.06080551,0.97307260
43,0.00251879,0.04242999,0.08226108,0.94057030,0.03782703,0.05997282,0.96479040,0.04703295,0.09968467,0.92086786,0.03884533,0.05893751,0.97038651,0.04052279,0.05869412,0.96459084,0.03716786,0.05917989,0.97449314
44,0.00254742,0.04278393,0.08291583,0.93962049,0.03819632,0.06118075,0.96335778,0.04737153,0.10003492,0.92031081,0.03960357,0.06112342,0.96814912,0.04084946,0.06058961,0.96226688,0.03835768,0.06165261,0.97231710
45,0.00250393,0.04331024,0.08381762,0.93829997,0.03871669,0.06172276,0.96270566,0.04790380,0.10119827,0.91844656,0.03882348,0.05918974,0.97013249,0.04006697,0.05843190,0.96490652,0.03757998,0.05993800,0.97383545
46,0.00247253,0.04343449,0.08393005,0.93813434,0.03952984,0.06305182,0.96108227,0.04733913,0.10056329,0.91946678,0.03824263,0.05836729,0.97095675,0.03883079,0.05687109,0.96675628,0.03765446,0.05982609,0.97393307
47,0.00245217,0.04313558,0.08311810,0.93932555,0.03837856,0.06077508,0.96384210,0.04789260,0.10061623,0.91938196,0.03875818,0.05901060,0.97031301,0.04035546,0.05879044,0.96447453,0.03716091,0.05922995,0.97444997
48,0.00242939,0.04349275,0.08348247,0.93879241,0.03848195,0.06080249,0.96380946,0.04850354,0.10120130,0.91844167,0.03825851,0.05826956,0.97105393,0.03918166,0.05761456,0.96588142,0.03733536,0.05891728,0.97471901
49,0.00246072,0.04144621,0.08161825,0.94149550,0.03675325,0.05865265,0.96632345,0.04613917,0.09941299,0.92129860,0.03750158,0.05710541,0.97219899,0.03903082,0.05735759,0.96618509,0.03597235,0.05685210,0.97646026
50,0.00248367,0.04249250,0.08284417,0.93972481,0.03825253,0.06127107,0.96324951,0.04673248,0.09986075,0.92058806,0.03916865,0.06066908,0.96862087,0.04130368,0.06268737,0.95960882,0.03703362,0.05858129,0.97500653
