epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
1,0.00154286,0.03732737,0.07881522,0.94544496,0.03410904,0.05664080,0.96859412,0.04054569,0.09599738,0.92661371,0.03356096,0.05287806,0.97616270,0.03480583,0.05279196,0.97135413,0.03231610,0.05296402,0.97956990
2,0.00154750,0.03767587,0.07920736,0.94490073,0.03404641,0.05679314,0.96842495,0.04130534,0.09655129,0.92576438,0.03450625,0.05442136,0.97475095,0.03525506,0.05378454,0.97026681,0.03375743,0.05505082,0.97792828
3,0.00149958,0.03802937,0.07868948,0.94561889,0.03430142,0.05713112,0.96804802,0.04175731,0.09549924,0.92737336,0.03480672,0.05445703,0.97471785,0.03585576,0.05465291,0.96929896,0.03375769,0.05426043,0.97855751
4,0.00150284,0.03733379,0.07816569,0.94634045,0.03320712,0.05585757,0.96945667,0.04146046,0.09539225,0.92753599,0.03471068,0.05421489,0.97494218,0.03564881,0.05460994,0.96934723,0.03377255,0.05381694,0.97890660
5,0.00153232,0.03837802,0.07868772,0.94562133,0.03432072,0.05705181,0.96813667,0.04243531,0.09554373,0.92730567,0.03470980,0.05397730,0.97516133,0.03586684,0.05410573,0.96991064,0.03355275,0.05384855,0.97888181
6,0.00149472,0.03845944,0.07906623,0.94509692,0.03452469,0.05707216,0.96811394,0.04239419,0.09615459,0.92637316,0.03445923,0.05319731,0.97587399,0.03546062,0.05281552,0.97132856,0.03345784,0.05357638,0.97909475
7,0.00151870,0.03791465,0.07846268,0.94593192,0.03428640,0.05732879,0.96782654,0.04154289,0.09500628,0.92812121,0.03502838,0.05421197,0.97494488,0.03578541,0.05372997,0.97032712,0.03427136,0.05468972,0.97821688
8,0.00152005,0.03840540,0.07854803,0.94581422,0.03437567,0.05719147,0.96798048,0.04243514,0.09522984,0.92778253,0.03560460,0.05462072,0.97456563,0.03638780,0.05436481,0.96962179,0.03482140,0.05487544,0.97806868
9,0.00150460,0.03711735,0.07773980,0.94692360,0.03347603,0.05548784,0.96985968,0.04075867,0.09491075,0.92826568,0.03454507,0.05376360,0.97535761,0.03545968,0.05327635,0.97082604,0.03363046,0.05424647,0.97856855
10,0.00150192,0.03809415,0.07830639,0.94614709,0.03431543,0.05648399,0.96876777,0.04187288,0.09525409,0.92774575,0.03463082,0.05355847,0.97554530,0.03514512,0.05266411,0.97149271,0.03411652,0.05443813,0.97841684
11,0.00148872,0.03904238,0.07928573,0.94479165,0.03567964,0.05848825,0.96651198,0.04240513,0.09566389,0.92712271,0.03609067,0.05573299,0.97351922,0.03660337,0.05466626,0.96928396,0.03557797,0.05677967,0.97652020
12,0.00149090,0.03844354,0.07899743,0.94519242,0.03470267,0.05746402,0.96767458,0.04218442,0.09580749,0.92690375,0.03483094,0.05388591,0.97524536,0.03585380,0.05387673,0.97016480,0.03380808,0.05389509,0.97884529
13,0.00148534,0.03849611,0.07905213,0.94511649,0.03459832,0.05806614,0.96699360,0.04239390,0.09553430,0.92732001,0.03470981,0.05359259,0.97551412,0.03517496,0.05311346,0.97100417,0.03424465,0.05406748,0.97870974
14,0.00148017,0.03833732,0.07919078,0.94492380,0.03453798,0.05771372,0.96739303,0.04213666,0.09597649,0.92664565,0.03473246,0.05390604,0.97522686,0.03547473,0.05369467,0.97036610,0.03399019,0.05411659,0.97867105
15,0.00149305,0.03811526,0.07911020,0.94503582,0.03365852,0.05685525,0.96835586,0.04257199,0.09635523,0.92606557,0.03458858,0.05421030,0.97494642,0.03491852,0.05342204,0.97066626,0.03425864,0.05498726,0.97797922
16,0.00145360,0.03791000,0.07894936,0.94525910,0.03373117,0.05668395,0.96854626,0.04208883,0.09619217,0.92631558,0.03405759,0.05301946,0.97603504,0.03482424,0.05271843,0.97143387,0.03329094,0.05331879,0.97929528
17,0.00145328,0.03809445,0.07828493,0.94617661,0.03403512,0.05692745,0.96827543,0.04215378,0.09495433,0.92819978,0.03489959,0.05439711,0.97477345,0.03590985,0.05446650,0.96950803,0.03388933,0.05432763,0.97850437
18,0.00145127,0.03884711,0.07926348,0.94482263,0.03503974,0.05791183,0.96716880,0.04265448,0.09597718,0.92664459,0.03477687,0.05396971,0.97516831,0.03575313,0.05401327,0.97001339,0.03380061,0.05392612,0.97882092
19,0.00145826,0.03838514,0.07911495,0.94502923,0.03458287,0.05780203,0.96729318,0.04218741,0.09579810,0.92691808,0.03476729,0.05415033,0.97500182,0.03555474,0.05411116,0.96990460,0.03397983,0.05418948,0.97861355
20,0.00145331,0.03834799,0.07921153,0.94489494,0.03502248,0.05821898,0.96681962,0.04167349,0.09570519,0.92705977,0.03498640,0.05436844,0.97480004,0.03580819,0.05405683,0.96996500,0.03416462,0.05467827,0.97822600
21,0.00143840,0.03769333,0.07846927,0.94592283,0.03402594,0.05713711,0.96804133,0.04136073,0.09513256,0.92792999,0.03453495,0.05359436,0.97551251,0.03538873,0.05342272,0.97066552,0.03368116,0.05376546,0.97894694
22,0.00144918,0.03827109,0.07915583,0.94497241,0.03463642,0.05755119,0.96757643,0.04190575,0.09601641,0.92658462,0.03433629,0.05345828,0.97563670,0.03454969,0.05212773,0.97207044,0.03412290,0.05475651,0.97816364
23,0.00143716,0.03763228,0.07864768,0.94567665,0.03361539,0.05674297,0.96848071,0.04164916,0.09566165,0.92712613,0.03509005,0.05480716,0.97439170,0.03582483,0.05428363,0.96971244,0.03435527,0.05532574,0.97770728
24,0.00140547,0.03856682,0.07967554,0.94424745,0.03499721,0.05847477,0.96652742,0.04213642,0.09631763,0.92612326,0.03472929,0.05398578,0.97515352,0.03579507,0.05420557,0.96979948,0.03366350,0.05376508,0.97894723
25,0.00142538,0.03808113,0.07882991,0.94542462,0.03435830,0.05763482,0.96748213,0.04180395,0.09542818,0.92748140,0.03471959,0.05426708,0.97489391,0.03580855,0.05460538,0.96935234,0.03363063,0.05392667,0.97882049
26,0.00142879,0.03840188,0.07941637,0.94460957,0.03473465,0.05755909,0.96756753,0.04206912,0.09644102,0.92593385,0.03420876,0.05324859,0.97582746,0.03464003,0.05214986,0.97204672,0.03377750,0.05432509,0.97850638
27,0.00140465,0.03774156,0.07893160,0.94528372,0.03343372,0.05625198,0.96902382,0.04204940,0.09641634,0.92597176,0.03473829,0.05414081,0.97501062,0.03532245,0.05357598,0.97049697,0.03415414,0.05469980,0.97820885
28,0.00140893,0.03787829,0.07929136,0.94478381,0.03414697,0.05732675,0.96782883,0.04160962,0.09637367,0.92603727,0.03430633,0.05393765,0.97519780,0.03513694,0.05382904,0.97021760,0.03347571,0.05404604,0.97872662
29,0.00139824,0.03787557,0.07881910,0.94543959,0.03460247,0.05772567,0.96737954,0.04114867,0.09535538,0.92759200,0.03485101,0.05438100,0.97478839,0.03514462,0.05303116,0.97109395,0.03455741,0.05569814,0.97740616
30,0.00140219,0.03764827,0.07824163,0.94623614,0.03370661,0.05635875,0.96890612,0.04158993,0.09522183,0.92779468,0.03510290,0.05472373,0.97446961,0.03555702,0.05370813,0.97035124,0.03464877,0.05572082,0.97738776
