encoding,distance_bin,n_tielines,n_system_temperature_groups,mae,rmse,r2,mae_extract,mae_raffinate,group_balanced_mae
inverse,0-5 K,191,20,0.09728477187005699,0.14886783374204138,0.8115718432513801,0.08110365724917598,0.11346588649093799,0.09200841287923288
inverse,5-10 K,364,38,0.07610964791521317,0.12069050167501984,0.853370319131792,0.07365101817423894,0.07856827765618742,0.07653245662900895
inverse,10-20 K,52,6,0.12845422564378867,0.20876476199744587,0.590465315062492,0.124914718624682,0.13199373266289535,0.13015116981654237
inverse,>20 K,105,8,0.08993203704675479,0.15131760460339128,0.8370224420450458,0.04345260234450319,0.1364114717490064,0.08963360437594409
