LLE system NO.,Model,Component 1,Component 1 SMILES,Component 2,Component 2 SMILES,Component 3,Component 3 SMILES,T/K,P/kPa,Ex1,Ex2,Ex3,Rx1,Rx2,Rx3
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0121,0.0104,0.9775,0.9603,0.033,0.0067
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0155,0.0317,0.9529,0.8942,0.0967,0.0091
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0153,0.0376,0.9471,0.8731,0.1178,0.0091
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.016,0.0614,0.9226,0.7967,0.1878,0.0155
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0172,0.0675,0.9153,0.7953,0.1922,0.0125
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.018,0.0855,0.8965,0.7335,0.2506,0.0159
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0207,0.1081,0.8712,0.6805,0.3005,0.0189
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0214,0.159,0.8196,0.5661,0.4073,0.0266
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0272,0.2305,0.7424,0.4524,0.5032,0.0444
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0375,0.3119,0.6506,0.3456,0.5933,0.0612
2,Experiment,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0443,0.3529,0.6028,0.2924,0.6274,0.0802
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.027833035,0.025793705,0.9463732,0.94864404,0.021053161,0.030302757
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.023962285,0.027774798,0.94826293,0.9015361,0.06098666,0.037477273
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.018064458,0.059248403,0.9226871,0.87897086,0.10056012,0.020468917
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.036140174,0.06478119,0.89907867,0.8130953,0.13878733,0.048117477
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.06257989,0.113366865,0.8240532,0.7483349,0.15916634,0.092498764
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.043158326,0.122649446,0.83419216,0.73928297,0.20747209,0.053244974
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.07646556,0.18835664,0.7351778,0.49556974,0.41038218,0.09404807
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.044479914,0.19177097,0.7637491,0.52706385,0.42165166,0.0512845
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.05737048,0.29504472,0.64758486,0.33285013,0.5946354,0.072514474
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.058405425,0.30438283,0.63721174,0.27218878,0.6081544,0.11965681
2,PSMI,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.05907859,0.33943653,0.6014849,0.2733076,0.6392527,0.08743968
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0115,0.001,0.9875,0.992,0.001,0.007
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0121,0.01,0.9779,0.9828,0.0097,0.0075
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0129,0.0189,0.9682,0.9735,0.0185,0.008
