LLE system NO.,Model,Component 1,Component 1 SMILES,Component 2,Component 2 SMILES,Component 3,Component 3 SMILES,T/K,P/kPa,Ex1,Ex2,Ex3,Rx1,Rx2,Rx3
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0136,0.0279,0.9585,0.9642,0.0272,0.0086
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0144,0.0368,0.9488,0.9549,0.036,0.0091
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0152,0.0458,0.939,0.9455,0.0447,0.0098
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0161,0.0547,0.9292,0.9361,0.0535,0.0104
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.017,0.0637,0.9194,0.9267,0.0622,0.0111
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0179,0.0726,0.9095,0.9172,0.071,0.0118
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0189,0.0815,0.8995,0.9077,0.0797,0.0126
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0199,0.0905,0.8896,0.8982,0.0884,0.0134
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.021,0.0994,0.8795,0.8886,0.0972,0.0142
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0222,0.1084,0.8694,0.879,0.1059,0.0151
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0234,0.1173,0.8593,0.8693,0.1147,0.016
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0246,0.1263,0.8491,0.8596,0.1234,0.017
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0259,0.1352,0.8389,0.8498,0.1322,0.018
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0273,0.1442,0.8286,0.8399,0.1409,0.0191
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0287,0.1531,0.8182,0.83,0.1497,0.0203
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0302,0.162,0.8077,0.8201,0.1585,0.0215
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0318,0.171,0.7972,0.81,0.1672,0.0228
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0334,0.1799,0.7867,0.7999,0.176,0.0241
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0352,0.1888,0.776,0.7898,0.1847,0.0255
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.037,0.1978,0.7652,0.7795,0.1935,0.027
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0389,0.2067,0.7544,0.7692,0.2022,0.0286
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0409,0.2156,0.7435,0.7588,0.211,0.0302
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.043,0.2245,0.7325,0.7483,0.2198,0.032
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0452,0.2335,0.7214,0.7376,0.2285,0.0338
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0475,0.2424,0.7101,0.7269,0.2373,0.0357
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0499,0.2513,0.6988,0.7161,0.2461,0.0378
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0525,0.2602,0.6873,0.7052,0.2549,0.04
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0551,0.2691,0.6758,0.6941,0.2637,0.0422
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.058,0.278,0.664,0.6829,0.2724,0.0447
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.061,0.2869,0.6522,0.6715,0.2812,0.0472
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0641,0.2958,0.6401,0.66,0.29,0.0499
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0674,0.3047,0.6279,0.6484,0.2988,0.0528
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0709,0.3135,0.6155,0.6365,0.3076,0.0559
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0746,0.3224,0.6029,0.6244,0.3165,0.0591
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0786,0.3313,0.5901,0.6121,0.3253,0.0626
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0828,0.3401,0.5771,0.5996,0.3341,0.0663
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0873,0.349,0.5637,0.5868,0.3429,0.0703
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0921,0.3578,0.5501,0.5737,0.3518,0.0745
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.0972,0.3666,0.5361,0.5603,0.3606,0.0791
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1027,0.3755,0.5218,0.5465,0.3695,0.084
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1087,0.3843,0.5071,0.5322,0.3784,0.0894
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1151,0.393,0.4918,0.5175,0.3873,0.0952
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1222,0.4018,0.476,0.5022,0.3962,0.1017
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1299,0.4106,0.4595,0.4862,0.4051,0.1087
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1385,0.4193,0.4422,0.4693,0.414,0.1167
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1482,0.428,0.4238,0.4514,0.423,0.1256
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1593,0.4366,0.404,0.4321,0.432,0.1359
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1723,0.4453,0.3824,0.4109,0.4411,0.1481
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1882,0.4538,0.358,0.3867,0.4502,0.1631
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2094,0.4622,0.3284,0.3573,0.4595,0.1832
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2462,0.4703,0.2835,0.3124,0.4691,0.2186
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2606,0.4788,0.2606,0.2606,0.4788,0.2606
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2562,0.4876,0.2562,0.2562,0.4876,0.2562
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2518,0.4965,0.2518,0.2518,0.4965,0.2518
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2473,0.5053,0.2473,0.2473,0.5053,0.2473
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2429,0.5142,0.2429,0.2429,0.5142,0.2429
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2385,0.523,0.2385,0.2385,0.523,0.2385
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2341,0.5319,0.2341,0.2341,0.5319,0.2341
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2296,0.5407,0.2296,0.2296,0.5407,0.2296
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2252,0.5496,0.2252,0.2252,0.5496,0.2252
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2208,0.5584,0.2208,0.2208,0.5584,0.2208
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2164,0.5673,0.2164,0.2164,0.5673,0.2164
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2119,0.5761,0.2119,0.2119,0.5761,0.2119
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2075,0.585,0.2075,0.2075,0.585,0.2075
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.2031,0.5938,0.2031,0.2031,0.5938,0.2031
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1987,0.6027,0.1987,0.1987,0.6027,0.1987
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1942,0.6115,0.1942,0.1942,0.6115,0.1942
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1898,0.6204,0.1898,0.1898,0.6204,0.1898
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1854,0.6292,0.1854,0.1854,0.6292,0.1854
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.181,0.6381,0.181,0.181,0.6381,0.181
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1765,0.6469,0.1765,0.1765,0.6469,0.1765
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1721,0.6558,0.1721,0.1721,0.6558,0.1721
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1677,0.6646,0.1677,0.1677,0.6646,0.1677
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1633,0.6735,0.1633,0.1633,0.6735,0.1633
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1588,0.6823,0.1588,0.1588,0.6823,0.1588
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.1544,0.6912,0.1544,0.1544,0.6912,0.1544
2,NRTL,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.15,0.7,0.15,0.15,0.7,0.15
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.463,0.0011,0.5359,0.4631,0.0011,0.5358
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4649,0.0107,0.5244,0.4649,0.0107,0.5244
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4907,0.0187,0.4907,0.4907,0.0187,0.4907
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4862,0.0275,0.4862,0.4862,0.0275,0.4862
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4818,0.0364,0.4818,0.4818,0.0364,0.4818
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4774,0.0452,0.4774,0.4774,0.0452,0.4774
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.473,0.0541,0.473,0.473,0.0541,0.473
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4685,0.0629,0.4685,0.4685,0.0629,0.4685
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4641,0.0718,0.4641,0.4641,0.0718,0.4641
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4597,0.0806,0.4597,0.4597,0.0806,0.4597
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4553,0.0895,0.4553,0.4553,0.0895,0.4553
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4508,0.0983,0.4508,0.4508,0.0983,0.4508
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4464,0.1072,0.4464,0.4464,0.1072,0.4464
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.442,0.116,0.442,0.442,0.116,0.442
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4376,0.1249,0.4376,0.4376,0.1249,0.4376
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4331,0.1337,0.4331,0.4331,0.1337,0.4331
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4287,0.1426,0.4287,0.4287,0.1426,0.4287
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4243,0.1514,0.4243,0.4243,0.1514,0.4243
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4199,0.1603,0.4199,0.4199,0.1603,0.4199
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4154,0.1691,0.4154,0.4154,0.1691,0.4154
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.411,0.178,0.411,0.411,0.178,0.411
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4066,0.1868,0.4066,0.4066,0.1868,0.4066
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.4022,0.1957,0.4022,0.4022,0.1957,0.4022
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3977,0.2045,0.3977,0.3977,0.2045,0.3977
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3933,0.2134,0.3933,0.3933,0.2134,0.3933
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3889,0.2222,0.3889,0.3889,0.2222,0.3889
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3845,0.2311,0.3845,0.3845,0.2311,0.3845
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3801,0.2399,0.3801,0.3801,0.2399,0.3801
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3756,0.2487,0.3756,0.3756,0.2487,0.3756
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3712,0.2576,0.3712,0.3712,0.2576,0.3712
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3668,0.2664,0.3668,0.3668,0.2664,0.3668
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3624,0.2753,0.3624,0.3624,0.2753,0.3624
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3579,0.2841,0.3579,0.3579,0.2841,0.3579
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3535,0.293,0.3535,0.3535,0.293,0.3535
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3491,0.3018,0.3491,0.3491,0.3018,0.3491
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3447,0.3107,0.3447,0.3447,0.3107,0.3447
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3402,0.3195,0.3402,0.3402,0.3195,0.3402
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3358,0.3284,0.3358,0.3358,0.3284,0.3358
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3314,0.3372,0.3314,0.3314,0.3372,0.3314
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.327,0.3461,0.327,0.327,0.3461,0.327
2,UNIFAC,n-Heptane,CCCCCCC,Toluene,Cc1ccccc1,Sulfolane,O=S1(=O)CCCC1,348.15,101.325,0.3225,0.3549,0.3225,0.3225,0.3549,0.3225
