composition_tolerance,quantitative_n,qualitative_n,failure_n,quantitative_fraction,qualitative_fraction,failure_fraction
0.01,0,76,2,0.0,0.9743589743589743,0.02564102564102564
0.02,4,72,2,0.05128205128205128,0.9230769230769231,0.02564102564102564
0.03,23,53,2,0.2948717948717949,0.6794871794871795,0.02564102564102564
0.05,41,35,2,0.5256410256410257,0.44871794871794873,0.02564102564102564
