system_id,T_K,component_1,component_2,component_3,n_tie_lines,mae_x,rmse_x,p95_abs_error,max_abs_error,curve_r2,nrmse_envelope,shape_spearman,mean_endpoint_error_E,mean_endpoint_error_R,hausdorff_E,hausdorff_R,median_tie_angle_deg,p90_tie_angle_deg,fraction_angle_le_15,fraction_angle_le_30,fraction_angle_le_45,n_angle_tie_lines,median_true_tie_length,composition_tolerance,experimental_uncertainty_available,category,category_cn,classification_reason
599,298.15,[C3CNPy][N(CN)2],cyclohexene,cyclohexane,10,0.0080304138238575,0.013790159096342937,0.03655872650000001,0.043408630000000004,0.9957974365893111,0.06482718111015554,0.9939209163101398,0.006648597848552759,0.017084991975429807,0.010649085149055791,0.04340761503560067,0.6078591389031878,2.1045613986140235,1.0,1.0,1.0,10,0.9361851768204368,0.02,False,Quantitative within tolerance,at Quantify correctly within a given tolerance,RMSE_x <= 0.020 and median tie-line angle <= 10.0 deg
303,298.15,[C2MPy][EtSO4],m-xylene,n-hexane,8,0.008654380787812502,0.014497119894674866,0.022821994999999987,0.05337210000000003,0.9925730415151011,0.08617980323079745,1.0,0.00545630376795633,0.019788216875745765,0.010497491721325624,0.05335330993677903,1.0821529420743192,2.1199698663746305,1.0,1.0,1.0,8,0.8143573509915396,0.02,False,Quantitative within tolerance,at Quantify correctly within a given tolerance,RMSE_x <= 0.020 and median tie-line angle <= 10.0 deg
300,298.15,[C2MPy][EtSO4],toluene,n-nonane,8,0.01229497828429167,0.019668361969337515,0.03729337000000002,0.061859540000000046,0.9844904623199111,0.12453729433422323,1.0,0.016371921760469445,0.019643274499547083,0.037161325540304324,0.061833566386250045,0.5863883072669398,2.613289133394336,1.0,1.0,1.0,8,0.7459437123716424,0.02,False,Quantitative within tolerance,at Quantify correctly within a given tolerance,RMSE_x <= 0.020 and median tie-line angle <= 10.0 deg
834,298.15,[C6MIm][PF6],acetone,water,8,0.016199972904166672,0.019999633495044182,0.037515609,0.05559120000000006,0.9433827692061828,0.2379437555260007,1.0,0.02353775454698869,0.01998784138195242,0.048827280323573204,0.03504088006327331,1.3268395646342994,3.1567246138614014,1.0,1.0,1.0,8,0.4884620059998379,0.02,False,Quantitative within tolerance,at Quantify correctly within a given tolerance,RMSE_x <= 0.020 and median tie-line angle <= 10.0 deg
600,298.15,[OHC3Py][N(CN)2],cyclohexene,cyclohexane,12,0.01266684697786264,0.020811813149670434,0.05289295000000007,0.05987273000000001,0.9875616920824205,0.11152716224122046,1.0,0.010040548374561658,0.027533293416005026,0.01960220378297969,0.04830702502377367,1.4020481382191528,3.155055652923715,1.0,1.0,1.0,12,0.8947394669503703,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
579,298.15,[AMIm][N(CN)2],1-hexene,n-hexane,18,0.011414504486043146,0.020911594114967416,0.05799239100000001,0.05875699999999995,0.9892242677519717,0.10380622451485418,0.9994838709333602,0.0057485482339801035,0.028292216561536354,0.011430041071073779,0.04347285002492932,1.319208065065858,3.295021252866964,1.0,1.0,1.0,18,0.91795228345173,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
206,298.15,[C4Py][NO3],ethylbenzene,n-heptane,10,0.012515698422183332,0.021347566811101094,0.06221024999999991,0.07047376999999999,0.9829889581294773,0.1304263848710174,0.9999999999999999,0.009762081230784458,0.027203806091009308,0.013363299318903633,0.06224728070564683,1.5633195417482046,4.254355320807917,1.0,1.0,1.0,10,0.7957408306044103,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
305,313.15,[C2MPy][EtSO4],p-xylene,n-heptane,9,0.016845552591648147,0.021996730624067845,0.039627591,0.046204350000000005,0.9789495092531797,0.14508787250084115,1.0,0.021221886896826015,0.027692117459805446,0.0430430655395417,0.04091029305214155,1.4589731666762888,2.6537267694222884,1.0,1.0,1.0,9,0.7812511183991995,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
732,323.2,[C4MIm][NTf2],2-propanol,water,7,0.01856305655238096,0.02284668211181122,0.043207676499999986,0.06823775999999998,0.9501442010163728,0.22328412165585626,0.9821428571428572,0.030546401902408017,0.018863602106854633,0.0601687454715087,0.014884842298070076,2.4414095604092503,5.613372415315171,1.0,1.0,1.0,7,0.43728823446326553,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
387,298.15,[C2MPy][EtSO4],toluene,cyclooctane,10,0.016524681079666672,0.02289573928605534,0.04005236150000003,0.07030021,0.9787408777369525,0.1458050831180022,0.9999999999999999,0.02204690893670664,0.024549302467178173,0.023114355038878442,0.061953433842557123,1.292904336730542,2.7078064129805943,1.0,1.0,1.0,10,0.7540416850205445,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
367,298.15,[C4MIm][MeSO4],benzene,cyclooctane,9,0.01699829591851852,0.023066961690271,0.04845362850000005,0.06256446999999998,0.9813762883877252,0.1364687202705252,1.0,0.01849699072616243,0.030591662353855784,0.031158913391119387,0.06224055393572509,1.9003047748737678,5.156129385850189,1.0,1.0,1.0,9,0.7284510965054553,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
859,293.15,[C10MIm][NTf2],acetic acid,water,7,0.017396074397619043,0.02393797285950147,0.04659480799999999,0.07112949999999996,0.94310234459717,0.2385322942555788,1.0,0.036102972211354944,0.011274650703490235,0.05373258536031553,0.021689807515220125,1.4974246999981033,2.248179790943168,1.0,1.0,1.0,7,0.6262588043293282,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
393,298.15,[C2Py][EtSO4],benzene,cyclooctane,9,0.018240545359148156,0.024355912674914187,0.044180603500000006,0.05941934999999998,0.9740111917897057,0.16121044696388076,1.0,0.022565992485529374,0.029979888853898726,0.024064125604847712,0.059354147795330055,1.566223341231039,2.864807250812644,1.0,1.0,1.0,9,0.7792169146008061,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
22,298.15,[C4MPyr][NTf2],benzene,n-decane,9,0.01825411984574074,0.02504479835759001,0.05374670299999998,0.05518994000000002,0.9850801789923469,0.12214671918497487,1.0,0.02017208274868268,0.03259763249318869,0.03505308953144507,0.05483915210270481,1.0616366536168562,8.56026231573329,1.0,1.0,1.0,9,0.5277793099392964,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
199,298.15,[C8MIm][NO3],ethylbenzene,n-octane,10,0.017028392172666666,0.02541707728627702,0.04420880749999998,0.09194839999999993,0.9651171502482495,0.18676950969510647,0.9999999999999999,0.017944045204957605,0.0311654823481942,0.0325980610491299,0.04624285199294695,3.9111550601595875,5.39590884129416,1.0,1.0,1.0,10,0.6195028456916375,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
63,298.15,[N4111][NTf2],benzene,n-dodecane,10,0.018850097507000004,0.027563735609490787,0.05580982200000001,0.08121828000000003,0.9806640787730558,0.1390536631194741,0.9999999999999999,0.022369858063016293,0.030964610380806102,0.04692690300403409,0.05710509620080247,1.8616766404659468,7.266531835165197,1.0,1.0,1.0,10,0.6027192865230773,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
633,298.2,[C8MIm][BF4],ethyl acetate,hexane,7,0.0207887989047619,0.027911961882203136,0.055287788999999976,0.06070460000000005,0.9705523208262585,0.1716032609647655,1.0,0.021648501081485163,0.0377564145163443,0.04234336819681683,0.054431322833828004,1.5393058477716444,6.201581818851765,1.0,1.0,1.0,7,0.5909932317717354,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
224,333.0,[C4MIm][PF6],n-propylbenzene,n-dodecane,10,0.02040342031243333,0.028400516834655276,0.05730375899999995,0.07513499999999995,0.9160672705950844,0.2897114588774761,0.9999999999999999,0.016184914072163718,0.0437269549390849,0.029442580789343094,0.07496423749889007,3.7372720068246066,7.238128829724781,1.0,1.0,1.0,10,0.684459914870695,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
31,313.2,[C4MPy][NTf2],toluene,n-heptane,12,0.022518659580694447,0.02904033208147179,0.05809111500000003,0.06054325000000005,0.9778073340342711,0.14897203081695867,1.0,0.028974135440746385,0.03592721551890952,0.03522208018442549,0.057182946721050516,1.2156692104721571,2.330497669782257,1.0,1.0,1.0,12,0.6578676697809316,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
359,298.15,[C4MIm][PF6],benzene,cyclohexane,8,0.021235868033416663,0.029048359883251693,0.054510606999999975,0.06987270000000007,0.9735665251190309,0.1625837472841894,1.0,0.034831326986353134,0.027136322929278065,0.0399492031196997,0.06968184066361913,2.4531737261304505,4.110163792803221,1.0,1.0,1.0,8,0.6885500231957171,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
211,298.15,[C4Py][NO3],p-xylene,n-decane,10,0.020537564909833328,0.02986592840505818,0.054741675499999996,0.055745399999999945,0.9681105523501178,0.17857616764249987,0.9999999999999999,0.015707141713838503,0.04544320427742423,0.05030289324425226,0.052482136550600744,4.18488595021752,5.142519172492174,1.0,1.0,1.0,10,0.7490101015489361,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
44,298.15,[C3MIm][NTf2],benzene,n-octane,10,0.021632799277833334,0.02989085355566385,0.05509210349999998,0.061004579999999975,0.9728007239231928,0.16492203029555277,0.9999999999999999,0.0325861629103247,0.030445343780529977,0.050184103262577606,0.05308711447338234,1.3099899942611088,1.7317317519003534,1.0,1.0,1.0,10,0.6375317767959292,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
132,313.2,[BzMIm][N(CN)2],toluene,n-heptane,12,0.021974684840333335,0.029946668800689295,0.06020465149999998,0.07926880000000003,0.9764301973980474,0.15352459933819265,1.0,0.03004049510249961,0.03307199654436905,0.04122922716746936,0.07915340097342015,1.4591968688106722,4.886392688491207,1.0,1.0,1.0,12,0.7575258961445678,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
722,298.2,[C6MIm][BF4],ethanol,1-heptene,6,0.02370682753083333,0.03176887181204372,0.055552937500000024,0.08703073,0.9101963039484672,0.29967264815383615,1.0,0.03789350182342677,0.02949243251473384,0.07845120357327671,0.05053554447171322,1.7773283233554626,3.9402145167585116,1.0,1.0,1.0,6,0.6520436879322986,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
761,298.15,[C6OC1MIm][NTf2],1-butanol,water,25,0.0194127213132,0.032940474865486666,0.08145527924999998,0.09678482000000005,0.9000536248803405,0.3161429662663072,0.9955682933641324,0.051757995169753566,0.0028101385808567913,0.07409552744434243,0.007344808080346519,3.981044318452404,8.274717672210791,1.0,1.0,1.0,25,0.466,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
374,298.15,[C2MIm][EtSO4],benzene,methylcyclohexane,10,0.019121667504999995,0.034602724804989674,0.09808271249999996,0.11240852999999995,0.953873613773817,0.2147705431994412,0.996965091635306,0.01460639666654806,0.041261476476637755,0.041543535224098295,0.11208074073558266,1.3212555312581955,7.850764144440234,1.0,1.0,1.0,10,0.7812063959900639,0.02,False,Qualitatively correct,Qualitatively correct but Out of given tolerance,"shape and tie-line orientation pass qualitative thresholds, but quantitative tolerance is exceeded"
