t_bin,n_tielines,mae,rmse,r2,mae_extract,mae_raffinate,group_balanced_mae,endpoint_l2_mean,tieline_vector_l2_mean
0.0–0.2,126,0.11497976965017702,0.1786154492910966,0.8098214831070849,0.09475653954623292,0.13520299975412112,0.11266575195781502,0.2347223299009267,0.3148145600486685
0.2–0.4,113,0.07248092041066559,0.11697125223349795,0.884846515558819,0.06299909191418324,0.08196274890714794,0.07197898732617511,0.14740220118106218,0.20067228341519133
0.4–0.6,99,0.05854158816803858,0.09135209138663775,0.911556275037906,0.061526541760417094,0.05555663457566007,0.058640094687843716,0.1175281027488977,0.16200318881411535
0.6–0.8,113,0.08195618436390886,0.12523763461375384,0.8269443601752259,0.0772123756409131,0.08669999308690461,0.08184550477462588,0.16673453150549553,0.23042731387507687
0.8–1.0,132,0.1355691263664939,0.19868154180399752,0.637370433069502,0.10567336064001082,0.16546489209297696,0.1354533722983252,0.2775993190590906,0.36375618267043053
