model,n_seeds,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,fit_mu_mae_mean,fit_mu_mae_std,fit_mu_rmse_mean,fit_mu_rmse_std
data_only,5,0.04051391155535129,0.0034077292528474374,0.07861544063828627,0.008284791450648907,0.9459507394389567,0.01126980687748409,,0.0,,0.0
margules,5,0.0409908244184104,0.003609394683611304,0.0787805507591389,0.00834274964083175,0.9457194437755245,0.011396648697666757,7.279250717163086,0.05952801507546061,12.360813522338868,0.05753093072496765
nrtl,5,0.040865633933779795,0.003416632767854678,0.0787733486039072,0.008231875834102967,0.9457422684292014,0.011221906938670104,6.850958919525146,0.0607354819289562,11.870112037658691,0.055066526045411644
van_laar,5,0.04072145671690409,0.003452050094280714,0.07867789092457508,0.008311167518324608,0.945863159289571,0.011318274413846556,6.0726391792297365,0.05400717978213827,10.981973457336426,0.049976532728804646
