model,n_paired_seeds,delta_test_mae_mean,delta_test_mae_std,delta_test_rmse_mean,delta_test_rmse_std,delta_test_r2_mean,delta_test_r2_std
margules,5,0.00047691286305910906,0.0002374477841908122,0.00016511012085263787,0.0002607836971299488,-0.0002312956634322516,0.0003660453172765949
nrtl,5,0.0003517223784285095,0.0001611099116068373,0.00015790796562093756,0.00017335979498286433,-0.0002084710097552067,0.00021440930297957991
van_laar,5,0.00020754516155280096,8.398730028049754e-05,6.245028628883154e-05,0.00012712451050485621,-8.758014938587965e-05,0.00017610237679564357
