encoding,distance_bin,n_tielines,n_system_temperature_groups,mae,rmse,r2,mae_extract,mae_raffinate,group_balanced_mae
linear_quadratic,0-5 K,191,20,0.10115267592705754,0.1571784373466177,0.7899464644944987,0.09052295159478631,0.11178240025932876,0.09461901632575323
linear_quadratic,5-10 K,364,38,0.06760934399557926,0.10744156213180951,0.8837961994074609,0.06092558032470574,0.07429310766645278,0.06770198530905087
linear_quadratic,10-20 K,52,6,0.12810323135300467,0.20718259354853452,0.5966492852529943,0.12170855013820796,0.1344979125678014,0.13036995433081588
linear_quadratic,>20 K,105,8,0.08935081675634368,0.14925990635940356,0.8414248173279996,0.045746787360593094,0.13295484615209427,0.090878537564444
inverse,0-5 K,191,20,0.10312933314946784,0.1656501427151541,0.7666930420499316,0.09479139374494293,0.11146727255399276,0.09504601515627595
inverse,5-10 K,364,38,0.07482243100973089,0.11241209257141113,0.8727957068508737,0.0742671852339176,0.07537767678554418,0.07411117944041927
inverse,10-20 K,52,6,0.13186673301373583,0.20985774121965348,0.5861658861121896,0.12972967179181674,0.13400379423565495,0.13349763594216493
inverse,>20 K,105,8,0.08992519685492707,0.1536128304669758,0.8320407704626278,0.04731896297559456,0.13253143073425958,0.0893453382281973
