name,importance
Atom C,2.6287622850284133e-17
Degree,1.5419996576748122e-17
Total H,1.3623997215354612e-17
Chiral Unspec.,1.0863836959149905e-17
Pauling EN,1.0642633146921587e-17
SP3,9.396487208471676e-18
In Ring,8.17760762455335e-18
Aromatic,7.694501886778493e-18
SP2,7.675547870222453e-18
vdW Radius,4.4573371769971194e-18
Covalent Radius,2.7564424929415872e-18
TPSA,2.7032692552151472e-18
Atom O,2.5797250744418303e-18
Gasteiger Charge,2.310843192091415e-18
LogP,8.490437199258402e-19
Molar Refr.,6.610056109602591e-19
Atomic Mass,6.2210868342587185e-19
Atomic Number,5.726510376134435e-19
Atom K,0.0
Atom Na,0.0
Atom I,0.0
Atom Br,0.0
Atom F,0.0
Atom N,0.0
Atom H,0.0
Atom B,0.0
Atom Cl,0.0
Atom S,0.0
Atom P,0.0
Atom Si,0.0
SP3D2,0.0
SP3D,0.0
Formal Charge,0.0
SP,0.0
Atom Fe,0.0
Atom Cu,0.0
Atom Zn,0.0
Other Atom,0.0
Atom Al,0.0
Atom Mg,0.0
Atom Ca,0.0
Atom Li,0.0
Chiral Other,0.0
Chiral CCW,0.0
Chiral CW,0.0
Other Hybrid,0.0
