name,importance
Single Bond,7.589000789911642e-18
Stereo None,6.1389668245862916e-18
Bond Order,4.750556160534917e-18
Conjugated,2.95808637881517e-18
Bond Length,2.8954398551234666e-18
Electronegativity Diff.,2.1681419219216764e-18
In Ring,1.707282793131126e-18
Aromatic Bond,1.3705175066309341e-18
Double Bond,8.659861883285161e-19
Triple Bond,5.896823245343923e-20
Stereo Any,0.0
Stereo Cis,0.0
Stereo E,0.0
Stereo Z,0.0
Stereo Trans,0.0
