name,importance
Rotatable Bonds,1.1104240626012314e-16
Molar Mass,9.071413830416707e-17
Lipophilicity,8.12990957801946e-17
Molar Refr. (Norm.),7.498117628829828e-17
Molar Refr.,5.295228454993729e-17
Fraction SP3,4.6941768534722824e-17
TPSA,2.965361763174819e-17
H-Bond Acceptors,1.7079335774780522e-17
TPSA (Norm.),1.5660401732535634e-17
Heavy Atoms,1.0582564118018599e-17
Aromatic Rings,4.471547726330474e-18
Ring Count,3.034971162390749e-18
Lipophilicity (Norm.),1.96842391930927e-18
Molar Mass (Norm.),6.880151259116469e-19
H-Bond Donors,5.41752222819408e-19
