name,importance
Lipophilicity,5.334640633331675e-17
Fraction SP3,5.0319931142997536e-17
Rotatable Bonds,3.537224146112739e-17
Molar Mass,1.9184498853199402e-17
Molar Refr.,1.538359070362844e-17
Molar Refr. (Norm.),8.229934242922842e-18
TPSA (Norm.),4.284577197342969e-18
Heavy Atoms,2.359832550279562e-18
H-Bond Donors,1.748944571862972e-18
TPSA,1.7296578219055324e-18
Lipophilicity (Norm.),1.549215402312296e-18
H-Bond Acceptors,1.072697744526117e-18
Aromatic Rings,1.0009337259301242e-18
Ring Count,8.140709372174044e-19
Molar Mass (Norm.),0.0
