name,importance
Aromatic Rings Product,5.461029343474955e-19
Fraction SP3 Product,3.2259906887779125e-19
Δ Lipophilicity,3.5597449322294026e-23
Δ TPSA,2.9033577543665174e-23
Δ Molar Mass,6.582111179529887e-26
Δ Aromatic Rings,3.188421704507779e-26
Δ Fraction SP3,1.0913753497520658e-26
Molar Mass Product,8.795249047622165e-27
Δ H-Bond Acceptors,0.0
Δ Ring Count,0.0
Δ H-Bond Donors,0.0
Lipophilicity Product,0.0
H-Bond Donors Product,0.0
TPSA Product,0.0
Ring Count Product,0.0
H-Bond Acceptors Product,0.0
