epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
27,0.02294190,0.10099735,0.16078235,0.77296570,0.07991739,0.12322767,0.85134870,0.12207732,0.19109388,0.70920313,0.09304549,0.14844407,0.81214108,0.07770738,0.11330037,0.86805615,0.10838360,0.17673231,0.77252139
28,0.02240294,0.09461529,0.15234166,0.79617753,0.07305281,0.11591105,0.86847694,0.11617776,0.18160559,0.73736380,0.08885305,0.14191411,0.82830515,0.07368462,0.10941952,0.87694025,0.10402148,0.16824565,0.79384383
29,0.02187929,0.09606214,0.15186939,0.79743928,0.07739230,0.12027566,0.85838551,0.11473199,0.17793929,0.74786108,0.08848028,0.13916037,0.83490372,0.07455420,0.11004834,0.87552176,0.10240636,0.16315815,0.80612304
30,0.02101713,0.09084705,0.14636183,0.81186468,0.07038460,0.11265939,0.87575268,0.11130950,0.17364167,0.75989342,0.08480611,0.13394527,0.84704598,0.07031918,0.10397120,0.88889016,0.09929305,0.15834349,0.81739650
31,0.02030771,0.09084979,0.14635769,0.81187531,0.06987944,0.11220549,0.87675184,0.11182013,0.17392836,0.75909991,0.08440337,0.13305998,0.84906117,0.06944796,0.10289126,0.89118634,0.09935878,0.15755413,0.81921257
32,0.01923378,0.08831613,0.14355901,0.81900122,0.07185774,0.11435873,0.87197615,0.10477452,0.16775119,0.77590747,0.07996315,0.12747810,0.86145933,0.06706751,0.09894256,0.89937804,0.09285880,0.15070402,0.83459130
33,0.01859375,0.08380119,0.13909113,0.83009210,0.06712535,0.10855699,0.88463666,0.10047704,0.16403677,0.78572150,0.07583187,0.12266076,0.87173227,0.06175546,0.09127085,0.91437695,0.08990827,0.14751595,0.84151556
34,0.01782119,0.08438079,0.14016481,0.82745884,0.06828864,0.11151388,0.87826650,0.10047294,0.16388106,0.78612811,0.07481891,0.12194060,0.87323401,0.06186823,0.09323962,0.91064324,0.08776958,0.14507030,0.84672699
35,0.01732754,0.08098386,0.13551435,0.83871822,0.06407983,0.10592249,0.89016808,0.09788789,0.15971445,0.79686507,0.07370333,0.11894011,0.87939571,0.06147645,0.09208898,0.91283507,0.08593021,0.14075908,0.85570162
36,0.01673695,0.08099943,0.13567676,0.83833143,0.06557682,0.10658616,0.88878745,0.09642204,0.15954860,0.79728674,0.07195045,0.11732691,0.88264507,0.05985397,0.08731425,0.92163958,0.08404693,0.14109368,0.85501476
37,0.01628183,0.08372471,0.13920606,0.82981120,0.07022305,0.11158557,0.87810994,0.09722638,0.16218913,0.79052141,0.07271509,0.11876279,0.87975503,0.06156318,0.08908137,0.91843568,0.08386699,0.14238579,0.85234712
38,0.01610559,0.07866542,0.13365481,0.84311411,0.06402605,0.10489239,0.89229393,0.09330478,0.15724122,0.80310759,0.06941980,0.11448445,0.88826246,0.05789638,0.08583836,0.92426629,0.08094322,0.13727765,0.86275127
39,0.01541431,0.07902622,0.13354996,0.84336016,0.06686535,0.10874495,0.88423684,0.09118710,0.15442060,0.81010802,0.06830224,0.11150153,0.89400931,0.05892641,0.08574654,0.92442821,0.07767808,0.13233560,0.87245541
40,0.01491568,0.07770777,0.13203518,0.84689335,0.06683205,0.10893037,0.88384173,0.08858350,0.15166000,0.81683678,0.06745019,0.11044049,0.89601690,0.05907988,0.08631374,0.92342511,0.07582050,0.13016966,0.87659629
41,0.01464555,0.07427664,0.12732348,0.85762567,0.06184904,0.10352079,0.89509230,0.08670424,0.14732950,0.82714753,0.06436608,0.10483248,0.90630902,0.05530749,0.08145579,0.93180219,0.07342467,0.12387352,0.88824534
42,0.01436332,0.07537231,0.12755232,0.85711342,0.06394697,0.10494117,0.89219372,0.08679764,0.14671926,0.82857648,0.06442895,0.10479998,0.90636710,0.05610769,0.08226861,0.93043436,0.07275020,0.12327995,0.88931378
43,0.01393560,0.07789855,0.13109876,0.84905738,0.06925028,0.11144806,0.87841018,0.08654683,0.14816579,0.82517962,0.06683132,0.10850164,0.89963583,0.06045294,0.08685133,0.92246829,0.07320971,0.12649924,0.88345745
44,0.01402584,0.07467766,0.12730086,0.85767625,0.06359530,0.10517466,0.89171348,0.08576002,0.14611403,0.82998783,0.06365637,0.10461056,0.90670525,0.05501706,0.08027173,0.93377046,0.07229568,0.12427063,0.88752768
45,0.01346946,0.07056885,0.12198283,0.86931909,0.05980009,0.10140430,0.89933813,0.08133761,0.13955927,0.84489937,0.06073813,0.10032958,0.91418483,0.05353111,0.07976434,0.93460508,0.06794515,0.11734436,0.89971567
46,0.01295807,0.07322520,0.12486002,0.86308169,0.06395783,0.10409862,0.89391789,0.08249256,0.14263074,0.83799723,0.06350737,0.10471367,0.90652125,0.05589342,0.08058942,0.93324520,0.07112132,0.12423869,0.88758549
47,0.01273069,0.07037076,0.12079496,0.87185185,0.06064310,0.10238898,0.89737370,0.08009841,0.13674554,0.85109048,0.06103167,0.10051157,0.91387322,0.05608984,0.08402168,0.92743802,0.06597349,0.11465387,0.90426162
48,0.01237033,0.06925469,0.11929825,0.87500781,0.06153872,0.10287860,0.89638984,0.07697066,0.13371664,0.85761407,0.06110671,0.10079830,0.91338112,0.05674786,0.08315718,0.92892351,0.06546556,0.11578203,0.90236827
49,0.01209094,0.06920011,0.11861303,0.87643955,0.06132399,0.10138510,0.89937626,0.07707623,0.13363818,0.85778112,0.06028714,0.09974399,0.91518364,0.05401336,0.07813369,0.93725153,0.06656092,0.11744299,0.89954702
50,0.01192153,0.06614593,0.11496329,0.88392651,0.05925331,0.10046964,0.90118523,0.07303856,0.12782396,0.86988699,0.05831439,0.09618086,0.92113516,0.05415086,0.08034986,0.93364147,0.06247793,0.10975161,0.91227358
51,0.01153685,0.06646324,0.11492584,0.88400211,0.06074204,0.10100218,0.90013491,0.07218443,0.12733601,0.87087849,0.05751695,0.09542212,0.92237454,0.05385648,0.07830106,0.93698242,0.06117743,0.10990771,0.91202384
52,0.01127688,0.06606622,0.11411048,0.88564221,0.06056890,0.10100626,0.90012683,0.07156354,0.12585761,0.87385934,0.05781139,0.09572704,0.92187764,0.05528679,0.08081044,0.93287853,0.06033599,0.10861402,0.91408274
