epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
27,0.00468331,0.05080178,0.09692415,0.91749529,0.04670969,0.07668246,0.94243688,0.05489386,0.11361507,0.89720594,0.04431039,0.07190751,0.95591867,0.04554941,0.06660465,0.95440308,0.04307136,0.07684531,0.95699257
28,0.00452342,0.04950858,0.10012254,0.91196033,0.04431869,0.07359419,0.94698006,0.05469848,0.12096669,0.88347267,0.04121093,0.06483577,0.96416268,0.04501056,0.06595096,0.95529370,0.03741130,0.06370106,0.97044697
29,0.00425166,0.04850578,0.09751066,0.91649377,0.04343086,0.07231705,0.94880429,0.05358070,0.11741763,0.89020999,0.04009642,0.06325935,0.96588419,0.04279578,0.06306938,0.95911504,0.03739706,0.06344876,0.97068061
30,0.00430355,0.05349532,0.10189817,0.90880996,0.04886372,0.07980569,0.93765237,0.05812692,0.11998968,0.88534739,0.04421896,0.06995997,0.95827414,0.04633941,0.06742809,0.95326866,0.04209851,0.07240336,0.96182086
31,0.00413394,0.05037955,0.09703703,0.91730302,0.04574195,0.07578681,0.94377371,0.05501715,0.11440598,0.89576978,0.04081068,0.06567844,0.96322508,0.04246344,0.06244354,0.95992242,0.03915792,0.06876131,0.96556525
32,0.00397481,0.04964413,0.09838127,0.91499597,0.04324224,0.07098785,0.95066896,0.05604603,0.11965982,0.88597689,0.03986580,0.06271866,0.96646489,0.04093574,0.05931739,0.96383483,0.03879586,0.06594474,0.96832848
33,0.00392604,0.04901339,0.09900153,0.91392074,0.04387699,0.07523896,0.94458367,0.05414979,0.11807501,0.88897722,0.03831190,0.06059479,0.96869767,0.03962803,0.05878293,0.96448360,0.03699576,0.06235401,0.97168364
34,0.00380678,0.05048881,0.09786770,0.91588113,0.04594764,0.07650751,0.94269925,0.05502997,0.11533765,0.89406527,0.03978074,0.06213345,0.96708779,0.04311776,0.06325411,0.95887519,0.03644371,0.06099220,0.97290699
35,0.00377362,0.04688358,0.09465539,0.92131257,0.04163128,0.06810103,0.95459961,0.05213588,0.11524554,0.89423440,0.03744395,0.05915867,0.97016384,0.03943006,0.05776096,0.96570781,0.03545784,0.06052411,0.97332125
36,0.00364190,0.04984775,0.09648571,0.91824004,0.04591137,0.07644931,0.94278639,0.05378413,0.11302427,0.89827221,0.04034388,0.06550376,0.96342043,0.04273757,0.06287493,0.95936675,0.03795019,0.06803109,0.96629274
37,0.00355037,0.04909140,0.09964197,0.91280345,0.04299047,0.07197404,0.94928879,0.05519233,0.12114777,0.88312356,0.03948956,0.06222084,0.96699514,0.04296809,0.06387350,0.95806584,0.03601102,0.06052307,0.97332217
38,0.00342254,0.04927982,0.09503868,0.92067400,0.04152167,0.06823333,0.95442304,0.05703797,0.11579687,0.89322002,0.04128667,0.06533752,0.96360587,0.04137841,0.06051798,0.96235604,0.04119493,0.06982518,0.96449146
39,0.00339699,0.04665446,0.09383790,0.92266586,0.04226936,0.06973872,0.95238979,0.05103957,0.11290534,0.89848620,0.03748428,0.05880934,0.97051517,0.04028452,0.05867614,0.96461253,0.03468404,0.05894223,0.97469759
40,0.00328341,0.04731343,0.09424298,0.92199674,0.04333030,0.07054007,0.95128934,0.05129657,0.11308217,0.89816797,0.03718094,0.05784959,0.97146967,0.03971434,0.05780923,0.96565046,0.03464753,0.05788992,0.97559299
41,0.00324928,0.04536740,0.09364589,0.92298201,0.04113343,0.06823247,0.95442419,0.04960138,0.11350523,0.89740460,0.03608649,0.05680971,0.97248615,0.03997661,0.05817830,0.96521048,0.03219638,0.05540733,0.97764147
42,0.00325362,0.04634203,0.09466321,0.92129957,0.04189624,0.06914485,0.95319719,0.05078782,0.11463523,0.89535166,0.03783639,0.06022340,0.96908020,0.03985605,0.05896479,0.96426350,0.03581674,0.06145624,0.97249317
43,0.00308702,0.04397749,0.08601282,0.93502578,0.03894146,0.06273911,0.96146735,0.04901353,0.10421236,0.91351623,0.03792498,0.05984774,0.96946474,0.03921690,0.05652190,0.96716327,0.03663307,0.06299825,0.97109549
44,0.00302487,0.04466047,0.08787346,0.93218431,0.04140468,0.06651408,0.95669088,0.04791626,0.10497317,0.91224885,0.03724008,0.05848227,0.97084221,0.04137894,0.06025025,0.96268838,0.03310123,0.05665916,0.97661976
45,0.00296075,0.04441589,0.08750758,0.93274787,0.03979488,0.06552634,0.95796762,0.04903690,0.10498311,0.91223225,0.03829226,0.06149280,0.96776300,0.03975302,0.05784958,0.96560250,0.03683151,0.06493192,0.96929387
46,0.00303380,0.04544288,0.09006947,0.92875246,0.04085659,0.06569288,0.95775369,0.05002917,0.10913049,0.90516070,0.03793572,0.06039165,0.96890719,0.03869486,0.05658955,0.96708461,0.03717658,0.06396817,0.97019862
