name,importance
Lipophilicity,6.238880730005653e-17
Fraction SP3,3.5578361634885805e-17
Rotatable Bonds,2.2360632523025387e-17
Molar Mass,1.782375696704762e-17
Molar Refr.,1.6806840974309628e-17
Molar Refr. (Norm.),1.4019765088153058e-17
TPSA (Norm.),6.185744715406778e-18
Aromatic Rings,2.754028159528698e-18
Heavy Atoms,2.4686909664576123e-18
TPSA,2.1288235458651934e-18
Lipophilicity (Norm.),2.0962944614813924e-18
Ring Count,1.9822754722567768e-18
H-Bond Acceptors,1.6093168463555388e-19
H-Bond Donors,0.0
Molar Mass (Norm.),0.0
