LLE system NO.,Model,Component 1,Component 1 SMILES,Component 2,Component 2 SMILES,Component 3,Component 3 SMILES,T/K,P/kPa,Ex1,Ex2,Ex3,Rx1,Rx2,Rx3
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9909,0.0078,0.0013,0.0036,0.0119,0.9845
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9837,0.0148,0.0015,0.0039,0.0225,0.9735
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9765,0.0219,0.0016,0.0043,0.0331,0.9626
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9693,0.029,0.0017,0.0047,0.0437,0.9516
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.962,0.0361,0.0019,0.0052,0.0542,0.9406
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9547,0.0432,0.0021,0.0056,0.0647,0.9297
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9474,0.0503,0.0022,0.0061,0.0751,0.9188
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.94,0.0575,0.0024,0.0067,0.0855,0.9078
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9326,0.0647,0.0026,0.0073,0.0959,0.8969
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9252,0.072,0.0028,0.0079,0.1062,0.886
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9177,0.0792,0.0031,0.0085,0.1165,0.875
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9102,0.0865,0.0033,0.0092,0.1267,0.8641
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9026,0.0938,0.0036,0.0099,0.1369,0.8532
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.895,0.1011,0.0039,0.0107,0.1471,0.8422
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8874,0.1085,0.0042,0.0115,0.1572,0.8313
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8797,0.1158,0.0045,0.0124,0.1672,0.8204
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8719,0.1232,0.0048,0.0133,0.1773,0.8094
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8641,0.1307,0.0052,0.0143,0.1873,0.7985
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8563,0.1381,0.0056,0.0153,0.1972,0.7875
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8484,0.1456,0.006,0.0164,0.2071,0.7765
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8405,0.1532,0.0064,0.0175,0.217,0.7655
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8324,0.1607,0.0068,0.0187,0.2268,0.7545
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8244,0.1683,0.0073,0.02,0.2366,0.7434
