mode,precision,batch_size,warmup,repeats,mean_ms_per_batch,std_ms_per_batch,median_ms_per_batch,p95_ms_per_batch,min_ms_per_batch,max_ms_per_batch,mean_ms_per_sample,throughput_samples_per_s,peak_allocated_mib
model_only_cached_gpu,fp32,1,30,200,6.213283843994141,1.7419741682025471,5.7466881275177,8.73727984428404,4.464640140533447,15.337471961975098,6.213283843994141,160.9454879430007,28.05224609375
cached_features_collate_transfer_forward,fp32,1,10,50,7.103476000000004,0.9921241300482457,7.166450000000157,8.703065000000088,5.260499999999446,8.850400000000036,7.103476000000004,140.7761495921151,28.0703125
model_only_cached_gpu,amp_fp16,1,30,200,7.826576309204102,1.7837850491661333,7.411711931228638,11.011788702011106,5.727231979370117,17.61587142944336,7.826576309204102,127.76978853754916,36.00927734375
cached_features_collate_transfer_forward,amp_fp16,1,10,50,8.465781999999926,1.3129860690336568,8.253599999998862,10.986870000000604,6.53080000000017,11.09299999999891,8.465781999999926,118.12257863479223,36.02734375
model_only_cached_gpu,fp32,8,30,200,6.983828938007354,1.1261094525704183,6.5490241050720215,8.969233655929564,5.710015773773193,9.797951698303223,0.8729786172509193,1145.5034295674748,32.33203125
cached_features_collate_transfer_forward,fp32,8,10,50,9.854402000000135,1.1878821940731514,9.592750000000372,11.55058500000079,8.407699999999352,12.318499999999233,1.231800250000017,811.8199359027458,32.3984375
model_only_cached_gpu,amp_fp16,8,30,200,8.490275354385377,1.2474427430514539,8.011263847351074,10.937293052673338,7.077888011932373,11.530240058898926,1.061284419298172,942.2544812834439,36.447265625
cached_features_collate_transfer_forward,amp_fp16,8,10,50,11.428918000000154,1.1253868097129511,11.150800000000238,13.29487000000018,9.758200000000272,13.756400000000113,1.4286147500000193,699.978773143695,36.513671875
model_only_cached_gpu,fp32,32,30,200,6.871867859363556,1.071984274403498,6.4286720752716064,9.137612533569335,5.340159893035889,9.796607971191406,0.21474587060511113,4656.666957935903,48.01220703125
cached_features_collate_transfer_forward,fp32,32,10,50,16.511641999999824,2.0052522516718065,16.074149999999676,19.77858999999941,14.295900000000472,24.457399999999296,0.5159888124999945,1938.0265148675305,48.2578125
model_only_cached_gpu,amp_fp16,32,30,200,8.091933417320252,1.4698390704472515,7.6702721118927,10.49251804351806,6.9416961669921875,17.157119750976562,0.2528729192912579,3954.555524580331,48.10546875
cached_features_collate_transfer_forward,amp_fp16,32,10,50,18.149351999999652,2.9569480613117816,17.430650000001435,20.37542999999964,15.681199999999507,32.61619999999965,0.5671672499999891,1763.1483482165431,48.35107421875
model_only_cached_gpu,fp32,128,30,200,6.609303996562958,0.46678401884015297,6.620160102844238,7.304243040084838,5.781504154205322,8.951807975769043,0.05163518747314811,19366.638312682237,112.74365234375
cached_features_collate_transfer_forward,fp32,128,10,50,43.52179199999995,1.8183529725375027,43.952600000000785,45.973064999999735,40.17509999999902,47.08910000000088,0.3400139999999996,2941.055368308367,113.68408203125
model_only_cached_gpu,amp_fp16,128,30,200,7.848232176303863,0.537538579248681,7.728720188140869,8.657664346694945,7.180287837982178,11.462656021118164,0.06131431387737393,16309.405369844932,98.9931640625
cached_features_collate_transfer_forward,amp_fp16,128,10,50,42.8901980000002,1.3054867952592006,42.72919999999836,45.711855000000945,40.93770000000063,47.27259999999944,0.33507967187500154,2984.3648658371644,99.93359375
uncached_new_system_end_to_end,fp32,1,1,20,15.516174999999953,1.6049598611409979,15.426449999997871,17.645674999998917,13.04929999999871,19.771299999998604,15.516174999999953,64.44887351425226,33.0322265625
uncached_new_system_end_to_end,amp_fp16,1,1,20,16.69590999999997,1.413723004304461,16.156249999999872,19.102725000000653,14.49100000000314,19.19059999999817,16.69590999999997,59.894908393732464,40.9892578125
