t_bin,n_tielines,mae,rmse,r2,mae_extract,mae_raffinate,group_balanced_mae,endpoint_l2_mean,tieline_vector_l2_mean
0.0–0.2,126,0.11496030616855557,0.17881262213955515,0.8094013768172301,0.09427436831266811,0.13564624402444303,0.11153644270821772,0.23507207912480368,0.31347672370099694
0.2–0.4,113,0.07356382653910754,0.11489964303075953,0.8888892282309967,0.06124169216165044,0.08588596091656461,0.07321565912145611,0.14969037262246057,0.202172344684725
0.4–0.6,99,0.05262356509624027,0.08032122078082082,0.9316260550925806,0.05528070460746272,0.049966425585017814,0.053328860429338085,0.10592257795824463,0.1458826819124295
0.6–0.8,113,0.06527547274468,0.10289504765160558,0.8831832848663549,0.06039456675820888,0.07015637873115113,0.06489186557320836,0.13245673929829296,0.1860873927255828
0.8–1.0,132,0.10673066800573548,0.16491109493539988,0.7501680839907781,0.08001812788970343,0.13344320812176752,0.10598457091571169,0.21726803347545473,0.29654963846107996
