threshold,tielines,equilibrium_endpoints,systems,system_temperature_groups,mean_tielines_per_group,groups_retained_percent,tielines_retained_percent
3,7930,15860,818,820,9.670731707317072,97.38717339667458,99.71080095561423
4,7921,15842,815,817,9.695226438188495,97.03087885985748,99.59763611215894
5,7853,15706,798,800,9.81625,95.01187648456057,98.74261285049667
6,7683,15366,765,766,10.030026109660575,90.97387173396675,96.605054696341
7,7353,14706,710,711,10.341772151898734,84.44180522565321,92.45567710298
8,6842,13684,637,638,10.724137931034482,75.77197149643706,86.03042876901799
9,6010,12020,534,534,11.254681647940075,63.42042755344418,75.56896768515026
