seed,threshold,train_rows_tielines,train_equilibrium_endpoints,train_systems,train_system_temperature_groups,train_mean_tielines_per_group,train_median_tielines_per_group,train_min_tielines_per_group,train_max_tielines_per_group,test_mae,test_rmse,test_r2,test_mae_extract,test_mae_raffinate,test_group_balanced_mae,test_endpoint_l2_mean,test_tieline_vector_l2_mean,best_epoch,elapsed_seconds
42,3,6392,12784,654,656,9.74390243902439,9.0,3,30,0.08589669960686781,0.1381504091578213,0.8376002218217578,0.07115003023750341,0.10064336897623222,0.08433291816101504,0.1749160999629739,0.23495879457627128,60,429.234664
42,4,6386,12772,652,654,9.764525993883792,9.0,4,30,0.085530607897386,0.13800020708251728,0.8379531635684474,0.07283119851372337,0.09823001728104862,0.08421517170157711,0.1742331444318529,0.23471566244781877,59,439.68146630000007
42,5,6338,12676,640,642,9.87227414330218,9.0,5,30,0.0848576681262279,0.1370194731359749,0.8402482342306565,0.07145566089694673,0.09825967535550906,0.08352592719946561,0.17267139151526015,0.23491999193805055,60,454.051566
42,6,6203,12406,614,615,10.086178861788618,10.0,6,30,0.0861074320049371,0.1390526198243439,0.8354721464311948,0.07536609213594031,0.0968487718739339,0.08448644107729311,0.17539004795449195,0.23828588636547582,60,445.5775755000002
42,7,5945,11890,571,572,10.393356643356643,10.0,7,30,0.08738255377732428,0.13979406297732652,0.8337129091410549,0.07422166617051458,0.10054344138413397,0.08571840661578353,0.1779846797256733,0.2402913984868251,60,424.3080461999998
42,8,5518,11036,510,511,10.798434442270059,10.0,8,30,0.09541952954453213,0.15146551071553319,0.8047870664559426,0.08202955584101879,0.10880950324804547,0.09435553758866816,0.19442685531567513,0.26146658810467716,60,411.9334331
42,9,4846,9692,427,427,11.348946135831381,10.0,9,30,0.11841305617586989,0.18008934449299455,0.724033023611204,0.10555457341915842,0.13127153893258137,0.11813876314817862,0.2396297685463195,0.31977113782314237,22,196.2976721
