seed,threshold,t_bin,n_tielines,mae,rmse,r2,mae_extract,mae_raffinate,group_balanced_mae,endpoint_l2_mean,tieline_vector_l2_mean
42,3,0.0–0.2,126,0.1190414286689634,0.1837772820308331,0.7986706626887425,0.0971722451581314,0.1409106121797954,0.1154608281963716,0.2439497226877335,0.3193771881439471
42,3,0.2–0.4,113,0.0759568285322749,0.1191397180575062,0.880537405831451,0.0611801513302096,0.0907335057343403,0.0755650442370478,0.1549155341408305,0.2043042986935649
42,3,0.4–0.6,99,0.0544506888363562,0.0824810064887873,0.9278995558128362,0.0545619182137346,0.0543394594589779,0.0546761472216466,0.1095008104555436,0.1498425173561575
42,3,0.6–0.8,113,0.0633531802891586,0.098813133533998,0.8922678348946355,0.0573630182156311,0.069343342362686,0.0628382604860784,0.1282954582917771,0.1805527374161247
42,3,0.8–1.0,132,0.1056508080825248,0.1626144039504287,0.7570783672639937,0.0790890657325772,0.1322125504324724,0.1043837515996683,0.2151136275740595,0.2910317972210174
42,4,0.0–0.2,126,0.1128234781266578,0.1790076093279926,0.8089854715840357,0.0905497037796685,0.1350972524736472,0.1092938422147545,0.2309843279357005,0.3100408112168166
42,4,0.2–0.4,113,0.0725200205318376,0.1154281307922236,0.8878647563329758,0.0600957106402251,0.0849443304234501,0.0720398792859811,0.1477225186928975,0.2003650217557821
42,4,0.4–0.6,99,0.0534680195896573,0.0813496362600877,0.9298639557791964,0.0562208268277171,0.0507152123515974,0.0542247233923193,0.1076343596356484,0.1482147055512744
42,4,0.6–0.8,113,0.0673467100901276,0.1034460703584631,0.8819287829769732,0.0641289401777462,0.0705644800025089,0.0672708385486419,0.1366392559772156,0.188513560815608
42,4,0.8–1.0,132,0.1102296337921135,0.1673143829426412,0.7428333068586757,0.0867278686279373,0.1337313989562898,0.1097416489969005,0.2248879980471213,0.2966481311637589
42,5,0.0–0.2,126,0.1149603061685555,0.1788126221395551,0.8094013768172301,0.0942743683126681,0.135646244024443,0.1115364427082177,0.2350720791248036,0.3134767237009969
42,5,0.2–0.4,113,0.0735638265391075,0.1148996430307595,0.8888892282309967,0.0612416921616504,0.0858859609165646,0.0732156591214561,0.1496903726224605,0.202172344684725
42,5,0.4–0.6,99,0.0526235650962402,0.0803212207808208,0.9316260550925806,0.0552807046074627,0.0499664255850178,0.053328860429338,0.1059225779582446,0.1458826819124295
42,5,0.6–0.8,113,0.06527547274468,0.1028950476516055,0.8831832848663549,0.0603945667582088,0.0701563787311511,0.0648918655732083,0.1324567392982929,0.1860873927255828
42,5,0.8–1.0,132,0.1067306680057354,0.1649110949353998,0.7501680839907781,0.0800181278897034,0.1334432081217675,0.1059845709157116,0.2172680334754547,0.2965496384610799
42,6,0.0–0.2,126,0.1067036691140582,0.1717467638373026,0.8241669373698198,0.0851348466572484,0.1282724915708679,0.1030613853560396,0.2181991276284243,0.2913606189725759
42,6,0.2–0.4,113,0.0692506063734933,0.1114683957351441,0.8954263403398263,0.0608184083894095,0.077682804357577,0.0685463482804604,0.1407165721136368,0.1928484057474892
42,6,0.4–0.6,99,0.0536200594952583,0.0827080721388603,0.9275020323127714,0.0609682992383718,0.0462718197521447,0.0533268571818259,0.1076309817127041,0.1530191865898517
42,6,0.6–0.8,113,0.0716068334163631,0.1109830240215998,0.8640969658681819,0.0711478105942639,0.0720658562384624,0.0710623422869588,0.1455816065334851,0.2048831705545872
42,6,0.8–1.0,132,0.1176567724562321,0.1758731480060571,0.7158502732876689,0.0929045202021664,0.1424090247102978,0.1169636962523542,0.2405465643909459,0.3190656527727114
42,7,0.0–0.2,126,0.1143533114064816,0.1773313430658544,0.8125461251297476,0.0917085455265512,0.1369980772864119,0.1113665521975912,0.2340833227679639,0.3114431292030549
42,7,0.2–0.4,113,0.0734258065780828,0.1145190626327514,0.8896240703596201,0.0618366880718739,0.0850149250842918,0.0728735129657635,0.1491529766818378,0.2021262694603001
42,7,0.4–0.6,99,0.0536957940904765,0.0813240478395232,0.9299080712398946,0.0567549506840468,0.0506366374969062,0.0544139146997614,0.107909598890529,0.1514243938089976
42,7,0.6–0.8,113,0.0693391286120265,0.1079272203690447,0.871477836206155,0.0656772244039642,0.0730010328200888,0.0684571050598674,0.140818510940819,0.195511264400747
42,7,0.8–1.0,132,0.114296896390332,0.1735984190113584,0.7231530778624966,0.0885465334361681,0.1400472593444959,0.1125433413135568,0.2334904637862233,0.3100302630670078
42,8,0.0–0.2,126,0.114979769650177,0.1786154492910966,0.8098214831070849,0.0947565395462329,0.1352029997541211,0.112665751957815,0.2347223299009267,0.3148145600486685
42,8,0.2–0.4,113,0.0724809204106655,0.1169712522334979,0.884846515558819,0.0629990919141832,0.0819627489071479,0.0719789873261751,0.1474022011810621,0.2006722834151913
42,8,0.4–0.6,99,0.0585415881680385,0.0913520913866377,0.911556275037906,0.061526541760417,0.05555663457566,0.0586400946878437,0.1175281027488977,0.1620031888141153
42,8,0.6–0.8,113,0.0819561843639088,0.1252376346137538,0.8269443601752259,0.0772123756409131,0.0866999930869046,0.0818455047746258,0.1667345315054955,0.2304273138750768
42,8,0.8–1.0,132,0.1355691263664939,0.1986815418039975,0.637370433069502,0.1056733606400108,0.1654648920929769,0.1354533722983252,0.2775993190590906,0.3637561826704305
42,9,0.0–0.2,126,0.1670330101323661,0.2338514088844362,0.6740106612409746,0.1478646889180511,0.186201331346681,0.1671226808253964,0.3405044179173146,0.4458227713892559
