threshold,t_bin,n_tielines,mae,mae_ci_low,mae_ci_high
3,0.0–0.2,132,0.11905383915088386,0.10108958312465802,0.13816415029203163
3,0.2–0.4,113,0.07317776136327434,0.06046343211510971,0.08767920442328589
3,0.4–0.6,99,0.052828912844764306,0.04390521545726729,0.062492028166122024
3,0.6–0.8,113,0.06451762850597344,0.05476569912306362,0.0754389561167865
3,0.8–1.0,126,0.10772244156708995,0.09295385412285659,0.12335892620000347
4,0.0–0.2,132,0.11297317832626261,0.09469733872539067,0.132689355655803
4,0.2–0.4,113,0.06972040551244837,0.05746844403091123,0.0837582941251099
4,0.4–0.6,99,0.05217975714304714,0.043399114267120585,0.06205903123036576
4,0.6–0.8,113,0.06851357619628319,0.058747135593510136,0.08021535978850723
4,0.8–1.0,126,0.11242578796958994,0.09731637283141788,0.12826487365638647
5,0.0–0.2,132,0.11500433976799494,0.0980522858844488,0.1339025138448262
5,0.2–0.4,113,0.07067222060613568,0.059073468741986906,0.08431981450059771
5,0.4–0.6,99,0.05114391395535016,0.04253797109913087,0.06072912681197051
5,0.6–0.8,113,0.06654802327763126,0.056415901079966996,0.07780447575298226
5,0.8–1.0,126,0.10890724218019841,0.09401890679804724,0.1251708595865075
6,0.0–0.2,132,0.1069140871593813,0.08894630069572737,0.12813841342194074
6,0.2–0.4,113,0.0662810616256637,0.05407867979323938,0.08099474553557248
6,0.4–0.6,99,0.05262364229782829,0.04326081569650664,0.0633105648019779
6,0.6–0.8,113,0.07310377257646018,0.06289011514159988,0.0848719256369075
6,0.8–1.0,126,0.12006148134574074,0.10489405937156653,0.13529259564157006
7,0.0–0.2,132,0.11469170320338383,0.09769086181231712,0.13394868289041237
7,0.2–0.4,113,0.0702220088528466,0.05873204924336389,0.08379464319908388
7,0.4–0.6,99,0.05237060869651516,0.043688368534365904,0.06161841093048131
7,0.6–0.8,113,0.07056017203929203,0.06031088530981986,0.08196709280043651
7,0.8–1.0,126,0.11675910712689153,0.10152440383394928,0.13276663796433735
8,0.0–0.2,132,0.11491733504811869,0.09720284598403252,0.1343019559726036
8,0.2–0.4,113,0.06922387624129794,0.05586374919033498,0.08448246331370575
8,0.4–0.6,99,0.05769208346616161,0.04670136767483681,0.07052845989659537
8,0.6–0.8,113,0.08381862169202065,0.07157296745114583,0.0977536373553767
8,0.8–1.0,126,0.13853316793748677,0.12251082169365574,0.155522488497727
9,0.0–0.2,132,0.1658718119852273,0.14959842876816268,0.182445703856717
9,0.2–0.4,113,0.09073716704321534,0.0788268121907387,0.10364468273644062
9,0.4–0.6,99,0.058225195386868676,0.048328313146313535,0.06923272098033535
9,0.6–0.8,113,0.08908564489498524,0.07851218328103628,0.10062862158236738
9,0.8–1.0,126,0.16710682820277778,0.1516888333724829,0.18316942540838702
